N,P,K,temperature,humidity,ph,rainfall,label
81.5,50.73,51.26,26.08,79.42,6.04,250.76,rice
66.8,62.65,47.08,22.53,73.73,6.94,232.56,rice
92.38,35.24,36.4,23.71,82.53,6.22,254.69,rice
69.32,46.86,40.72,24.99,85.86,5.95,189.98,rice
92.78,50.66,35.51,27.58,82.88,6.87,238.03,rice
100.61,62.04,38.51,26.13,85.53,6.95,207.05,rice
86.86,56.47,29.45,20.74,72.1,6.29,257.53,rice
95.02,48.59,49.77,20.25,73.78,6.38,247.52,rice
79.67,31.46,39.47,20.44,85.65,6.55,207.8,rice
74.86,39.53,39.62,26.09,77.37,6.6,220.09,rice
72.07,47.14,33.79,22.32,76.31,7.19,237.06,rice
73.0,49.71,39.33,23.15,85.37,6.7,220.08,rice
74.24,45.8,26.19,19.91,89.13,7.06,228.53,rice
85.77,50.49,58.47,26.5,81.66,6.02,187.81,rice
82.03,41.95,31.47,22.08,76.89,7.07,262.45,rice
79.92,59.84,40.46,21.55,89.92,6.62,204.88,rice
78.1,41.0,31.7,26.02,91.85,5.84,252.89,rice
73.49,44.1,36.45,21.54,82.54,6.07,244.11,rice
79.5,46.09,34.55,22.26,86.08,6.6,206.67,rice
80.99,54.01,29.98,25.06,78.99,6.63,213.1,rice
61.95,34.98,40.29,24.35,77.78,6.66,186.15,rice
79.34,38.31,36.09,23.82,78.0,6.25,266.19,rice
74.23,54.69,33.22,25.02,89.51,5.41,212.09,rice
85.77,46.38,42.23,22.19,82.73,6.34,271.03,rice
82.54,50.7,37.53,22.48,80.14,6.56,223.37,rice
82.9,64.6,45.23,22.88,88.31,6.24,174.86,rice
69.92,33.03,37.89,23.75,90.68,6.53,229.43,rice
88.29,30.31,41.41,25.63,74.91,6.86,246.15,rice
75.85,53.06,53.62,24.15,83.54,6.22,210.5,rice
88.3,41.15,40.43,22.51,84.69,6.53,267.13,rice
74.9,45.84,34.13,22.59,84.19,6.7,208.34,rice
88.7,58.85,42.48,28.39,78.43,5.9,182.64,rice
94.96,53.23,39.67,24.4,76.67,7.38,239.88,rice
81.09,53.81,42.89,24.26,78.35,6.59,292.46,rice
93.45,60.75,36.93,21.23,81.67,6.42,268.83,rice
63.08,60.24,39.05,22.63,77.24,5.74,260.7,rice
80.73,37.68,32.23,22.86,90.65,6.3,190.91,rice
77.54,45.82,23.82,23.56,81.15,6.68,291.47,rice
91.27,45.85,33.36,30.13,82.6,6.41,235.28,rice
81.98,46.85,36.56,22.33,82.14,6.18,214.61,rice
81.06,45.96,49.02,17.07,87.76,6.9,173.8,rice
76.57,45.03,31.55,21.76,76.75,7.1,264.07,rice
92.72,53.77,33.23,22.39,84.75,5.91,257.39,rice
77.6,45.0,44.27,24.81,80.5,6.86,203.57,rice
86.16,52.74,38.14,24.52,76.04,6.77,230.45,rice
71.53,55.74,17.18,18.17,54.2,6.44,65.59,maize
98.86,33.83,26.79,23.03,64.42,5.98,90.79,maize
77.35,56.12,20.46,22.85,62.55,6.18,89.42,maize
57.28,38.96,22.97,22.91,63.81,6.21,90.01,maize
71.32,42.95,20.78,19.46,67.96,5.52,100.24,maize
83.47,50.19,23.93,27.4,72.2,5.46,65.61,maize
70.3,48.58,22.07,20.22,66.41,5.9,75.63,maize
60.92,41.94,14.59,19.47,72.48,5.82,124.29,maize
83.72,49.69,16.57,24.5,61.07,6.25,123.2,maize
76.65,56.44,17.19,22.3,77.5,5.95,111.99,maize
86.29,44.46,22.53,25.32,69.45,5.57,73.89,maize
74.83,47.88,22.48,22.93,55.75,6.35,93.96,maize
84.52,55.97,23.34,23.78,64.61,5.54,91.24,maize
80.29,50.3,14.89,19.16,72.47,6.18,95.02,maize
78.14,48.61,23.75,20.85,65.77,6.02,78.28,maize
74.09,49.95,18.09,26.17,58.84,6.13,78.2,maize
95.16,49.78,24.13,17.94,66.97,6.56,86.03,maize
90.59,44.78,25.64,29.3,62.56,6.02,106.6,maize
96.75,44.74,18.32,21.55,55.69,5.83,69.74,maize
68.59,48.16,20.94,27.05,58.11,6.59,81.59,maize
77.21,53.12,15.51,23.55,66.27,6.4,89.14,maize
107.26,43.94,17.88,20.53,61.21,5.95,102.64,maize
94.85,44.4,16.67,23.81,61.23,6.45,87.84,maize
59.61,59.23,27.18,20.56,62.39,6.31,89.82,maize
85.7,62.47,19.29,20.01,55.44,5.91,84.3,maize
99.33,44.78,20.9,22.35,73.42,7.21,76.84,maize
71.93,55.71,22.73,27.94,69.19,6.06,93.66,maize
91.1,54.14,22.03,25.6,73.29,6.75,94.53,maize
75.79,49.43,24.83,19.95,67.68,6.04,85.23,maize
93.14,49.74,20.19,18.32,70.32,6.46,117.25,maize
74.11,49.93,21.0,27.13,64.43,6.31,93.92,maize
80.04,45.27,20.78,25.62,57.91,6.25,74.3,maize
92.14,37.74,17.76,23.53,76.06,6.17,76.47,maize
100.37,38.26,11.2,23.72,61.59,5.79,95.43,maize
80.73,44.45,14.88,25.02,69.65,6.16,112.5,maize
64.96,37.72,17.23,22.26,66.8,6.1,90.08,maize
62.78,58.51,19.67,25.75,67.5,6.38,93.35,maize
83.17,52.9,25.32,22.99,70.06,6.16,106.4,maize
69.68,61.01,19.84,18.11,66.0,5.93,97.41,maize
69.97,45.28,12.44,21.04,48.13,5.57,96.21,maize
87.23,51.38,16.13,22.26,65.07,5.74,107.35,maize
88.33,46.85,20.11,23.03,50.81,6.1,74.57,maize
65.78,46.43,27.19,24.32,61.1,6.43,105.79,maize
88.9,48.82,17.41,24.49,67.85,6.56,94.33,maize
90.39,44.65,25.27,22.99,79.63,5.92,110.84,maize
80.17,43.84,18.06,21.44,68.07,6.41,76.19,maize
77.51,63.4,26.91,23.71,65.37,6.25,94.0,maize
65.53,46.6,13.33,23.6,69.63,6.01,108.41,maize
63.09,38.15,20.9,25.54,76.89,6.02,100.98,maize
77.34,47.19,23.53,24.36,54.07,6.79,105.5,maize
70.29,51.17,21.98,23.18,61.25,5.93,84.42,maize
91.87,52.21,18.52,24.72,45.16,6.66,58.7,maize
73.45,40.56,14.82,25.88,61.83,6.34,84.1,maize
83.52,48.94,14.87,25.39,61.64,5.58,78.38,maize
95.81,54.35,18.61,21.35,62.85,7.03,90.53,maize
82.96,55.61,20.96,21.62,63.73,6.17,84.24,maize
86.53,48.76,22.93,22.16,65.65,5.4,98.54,maize
81.96,55.39,8.41,28.67,64.12,6.64,69.2,maize
85.15,41.03,17.5,28.14,63.77,6.29,97.85,maize
83.75,49.45,21.46,29.61,64.7,6.28,100.56,maize
91.07,56.71,22.55,18.97,76.53,5.74,89.34,maize
68.75,47.95,21.32,23.36,68.05,6.85,91.6,maize
74.87,55.15,24.76,18.72,69.28,6.48,80.34,maize
94.31,47.35,20.5,21.88,65.21,5.76,63.2,maize
96.93,42.47,16.03,15.94,60.63,5.67,109.43,maize
89.92,43.58,29.01,25.35,62.83,5.2,119.16,maize
61.13,36.88,24.09,29.72,74.79,6.43,93.72,maize
88.04,53.71,21.12,22.71,64.66,5.9,80.59,maize
57.48,47.71,16.05,19.09,66.36,6.76,98.57,maize
58.95,41.47,23.76,19.45,63.53,6.42,70.27,maize
79.06,39.06,17.59,23.36,53.95,6.38,84.51,maize
84.43,49.97,25.46,22.78,62.09,6.25,92.95,maize
78.39,48.68,17.19,20.41,55.28,6.9,66.14,maize
69.49,43.37,23.58,21.52,73.83,5.93,88.98,maize
67.78,63.42,15.25,23.33,69.54,6.37,82.02,maize
76.24,48.71,19.41,25.29,80.57,5.98,64.25,maize
76.74,66.46,16.79,27.32,76.84,5.98,93.33,maize
97.34,45.75,19.19,20.65,58.0,5.94,66.44,maize
78.21,43.01,20.94,17.73,67.42,6.53,54.89,maize
82.29,56.99,15.16,27.42,68.03,5.92,83.96,maize
84.5,48.93,22.16,19.64,66.29,5.63,83.13,maize
66.95,43.25,24.94,25.67,69.36,5.76,80.05,maize
92.36,49.39,29.28,23.58,66.44,6.08,86.8,maize
75.97,53.36,23.83,20.04,55.78,5.47,92.42,maize
64.56,33.33,21.55,29.88,65.06,6.54,86.03,maize
76.61,54.83,18.84,23.2,67.35,5.93,99.68,maize
75.7,43.11,22.15,19.7,65.3,6.2,101.09,maize
83.5,48.22,23.27,26.57,69.0,6.2,65.12,maize
65.02,46.26,17.56,21.84,65.5,6.41,83.74,maize
83.64,48.85,12.1,19.58,64.09,5.72,93.8,maize
96.17,56.93,19.15,26.87,66.14,6.07,75.6,maize
74.17,45.68,20.68,22.88,65.12,6.37,102.66,maize
89.19,38.01,9.78,25.2,55.53,6.11,67.25,maize
56.18,52.19,23.04,20.67,46.96,5.98,90.68,maize
60.05,49.68,19.94,24.14,65.94,5.81,102.75,maize
75.9,48.21,16.27,21.07,58.91,6.13,110.48,maize
61.34,37.11,25.88,21.77,60.42,6.62,75.72,maize
99.71,53.15,18.05,28.87,60.86,6.5,89.29,maize
93.42,59.33,20.13,20.14,68.32,5.93,115.0,maize
79.44,45.84,20.74,18.36,58.3,6.68,74.95,maize
31.72,72.09,87.01,20.34,19.89,7.0,65.88,chickpea
52.11,65.22,78.4,21.56,18.57,7.48,101.75,chickpea
34.95,75.22,80.24,19.44,21.49,7.5,85.48,chickpea
48.68,64.88,74.86,16.81,11.0,8.12,69.07,chickpea
38.33,65.59,81.74,20.53,19.48,7.07,78.43,chickpea
42.36,65.81,89.54,19.88,19.1,7.57,91.83,chickpea
41.55,57.43,82.3,17.6,15.31,7.53,92.48,chickpea
40.27,70.27,90.11,19.38,24.71,7.53,62.49,chickpea
46.13,70.85,87.64,20.25,16.48,6.81,78.01,chickpea
33.3,63.16,83.43,22.24,18.08,6.82,84.55,chickpea
49.67,62.92,79.1,18.93,14.55,7.56,78.89,chickpea
43.46,60.7,77.28,20.34,15.78,7.99,76.1,chickpea
41.9,75.26,71.39,15.38,12.32,7.81,74.58,chickpea
60.57,63.29,81.01,21.98,22.92,8.12,92.18,chickpea
48.29,72.54,84.57,17.8,14.45,7.3,78.4,chickpea
36.47,73.37,85.63,19.08,21.33,6.84,78.16,chickpea
34.37,52.87,79.4,18.66,21.44,7.55,69.86,chickpea
54.93,77.57,83.39,18.45,14.02,7.15,90.99,chickpea
55.18,80.15,76.97,16.66,17.32,6.59,83.33,chickpea
38.92,64.07,70.33,19.93,15.3,6.83,51.38,chickpea
39.88,81.98,89.87,17.99,15.09,7.49,70.12,chickpea
42.51,73.93,87.26,18.7,16.29,6.95,71.83,chickpea
38.29,70.74,85.38,17.29,21.38,7.19,79.89,chickpea
34.12,48.41,85.2,20.37,16.06,7.33,85.26,chickpea
27.6,63.57,84.67,16.39,17.78,6.76,84.76,chickpea
39.81,54.88,86.89,17.43,14.47,7.38,91.59,chickpea
31.97,68.29,82.47,20.29,17.43,7.15,71.82,chickpea
40.79,59.22,62.37,19.77,19.61,6.35,70.0,chickpea
45.05,84.26,80.02,17.44,16.35,7.85,73.64,chickpea
33.71,63.94,74.18,19.15,21.77,7.43,77.58,chickpea
37.77,55.29,85.2,18.74,16.36,8.58,83.09,chickpea
34.09,64.39,86.79,19.13,12.59,7.67,73.42,chickpea
55.09,76.44,77.22,21.46,17.1,7.64,84.95,chickpea
33.33,62.65,86.08,18.23,15.69,6.92,84.34,chickpea
56.6,59.26,80.05,21.72,16.66,7.48,69.48,chickpea
43.53,66.3,85.81,21.27,24.67,7.53,83.36,chickpea
41.66,64.97,81.93,18.31,17.41,7.83,70.03,chickpea
49.22,78.34,79.19,14.66,15.08,7.82,79.87,chickpea
32.11,63.76,84.94,19.99,16.18,7.15,76.18,chickpea
32.72,80.72,77.97,21.33,21.46,7.7,75.78,chickpea
43.33,67.61,74.48,19.55,13.36,7.78,75.45,chickpea
41.71,70.07,78.35,20.07,15.48,7.65,66.64,chickpea
41.11,83.31,73.9,17.54,18.44,7.37,83.61,chickpea
44.01,72.88,86.56,19.72,16.18,7.57,99.1,chickpea
39.04,60.0,86.54,18.66,10.38,7.64,74.75,chickpea
39.38,70.46,81.04,20.32,15.59,7.51,77.5,chickpea
46.01,72.72,74.29,21.07,15.29,7.62,83.77,chickpea
54.81,66.01,77.8,18.86,15.99,7.62,63.94,chickpea
31.67,59.26,85.6,22.32,16.59,7.23,80.8,chickpea
49.4,60.38,81.33,20.85,18.4,7.38,90.11,chickpea
18.47,73.22,75.98,15.24,18.43,7.85,78.73,chickpea
47.72,80.7,87.79,22.18,19.13,7.33,64.08,chickpea
38.13,61.05,92.93,18.55,17.27,7.52,80.54,chickpea
53.66,62.82,81.07,17.42,12.94,7.06,79.73,chickpea
36.67,62.26,71.46,18.73,12.39,7.6,80.92,chickpea
28.44,65.33,75.39,19.54,20.92,6.55,81.25,chickpea
38.82,73.17,81.18,17.4,15.94,6.98,90.86,chickpea
40.27,83.01,79.54,17.48,12.36,6.58,64.26,chickpea
42.24,71.87,70.41,20.69,15.45,7.36,96.22,chickpea
47.27,65.65,74.55,14.6,14.74,7.22,70.23,chickpea
39.05,68.41,78.55,17.6,17.41,7.48,69.2,chickpea
51.39,67.01,80.01,20.32,17.6,7.68,82.97,chickpea
35.2,70.69,73.04,19.12,16.8,7.22,78.81,chickpea
25.05,63.41,80.46,19.22,13.82,7.81,71.44,chickpea
47.86,71.22,76.02,22.45,13.32,7.67,90.11,chickpea
34.74,78.94,78.4,19.48,17.68,7.25,88.21,chickpea
46.45,53.81,87.73,15.58,20.0,7.75,69.19,chickpea
36.81,58.95,78.61,18.28,19.24,7.82,94.06,chickpea
35.6,66.13,69.8,17.29,19.79,7.95,67.76,chickpea
35.36,67.59,81.58,17.28,18.17,7.11,79.96,chickpea
44.47,67.85,77.28,18.68,16.63,7.15,77.51,chickpea
52.89,72.29,78.13,20.29,15.9,7.77,83.8,chickpea
39.24,71.38,70.47,16.65,13.32,7.36,97.43,chickpea
57.95,72.9,82.91,15.3,15.27,6.98,73.89,chickpea
38.75,64.02,68.02,20.4,13.68,7.4,100.84,chickpea
32.74,47.56,78.18,21.1,22.78,6.81,85.07,chickpea
36.38,66.95,95.77,15.89,17.66,7.49,90.96,chickpea
40.88,70.26,77.55,19.44,15.87,7.55,76.4,chickpea
43.12,67.57,86.66,18.8,11.58,7.8,71.04,chickpea
34.87,63.03,88.15,14.63,26.31,7.72,82.33,chickpea
39.66,70.08,83.03,20.19,18.57,7.34,78.13,chickpea
38.89,66.24,86.7,20.09,10.0,7.56,82.05,chickpea
39.95,64.69,86.64,20.8,14.58,7.46,70.38,chickpea
29.06,62.79,85.07,20.81,18.44,7.59,85.26,chickpea
34.97,71.26,84.7,20.41,20.47,7.58,83.61,chickpea
48.66,67.59,74.61,18.57,14.67,7.03,78.65,chickpea
33.76,65.34,68.54,19.33,16.9,6.97,86.69,chickpea
47.6,54.94,75.32,17.36,14.08,7.63,78.16,chickpea
37.98,51.77,83.71,16.42,17.08,7.41,93.71,chickpea
29.63,43.64,81.0,22.5,20.62,7.38,75.18,chickpea
46.56,60.01,82.76,19.91,20.08,8.4,84.02,chickpea
36.03,67.6,69.29,17.51,15.67,7.09,81.62,chickpea
33.52,76.77,79.9,18.88,15.92,7.36,88.35,chickpea
33.16,62.54,78.08,16.21,14.44,7.11,88.84,chickpea
42.2,69.35,85.01,18.63,18.07,7.26,82.75,chickpea
35.44,48.29,79.09,21.75,19.68,7.69,92.46,chickpea
40.81,69.38,76.19,18.27,18.75,7.78,78.71,chickpea
36.5,67.8,83.51,16.01,10.01,7.08,67.89,chickpea
36.03,66.62,77.18,21.8,17.88,7.42,86.32,chickpea
30.99,76.11,79.45,20.24,13.68,6.68,88.28,chickpea
23.06,59.38,16.62,22.35,17.44,6.19,92.49,kidneybeans
24.63,64.54,22.51,19.01,21.03,5.71,90.97,kidneybeans
25.24,62.88,19.19,18.11,12.63,5.64,142.19,kidneybeans
25.51,67.33,19.05,20.14,23.51,5.35,122.71,kidneybeans
25.09,73.96,21.85,20.14,23.96,5.88,100.69,kidneybeans
17.36,68.42,26.3,17.62,16.46,5.75,106.76,kidneybeans
21.84,69.7,19.21,23.08,16.0,5.45,104.45,kidneybeans
10.94,65.92,26.75,20.14,22.41,5.32,96.75,kidneybeans
18.55,64.64,25.23,21.22,17.71,5.77,113.47,kidneybeans
27.64,81.72,16.04,18.48,17.2,5.63,113.0,kidneybeans
26.72,66.82,18.82,20.4,18.68,6.33,81.89,kidneybeans
21.91,85.71,20.13,19.72,20.35,5.65,126.59,kidneybeans
7.53,81.3,14.4,19.57,20.1,5.88,82.03,kidneybeans
23.57,85.72,14.65,20.48,19.28,5.83,106.29,kidneybeans
16.95,71.89,27.32,19.72,24.12,5.31,91.65,kidneybeans
23.63,80.86,21.52,19.47,21.6,5.32,115.07,kidneybeans
26.09,63.43,18.22,20.63,20.07,5.68,137.5,kidneybeans
19.32,64.27,17.51,21.59,20.97,5.51,125.82,kidneybeans
29.32,62.1,12.63,22.12,19.2,5.94,76.45,kidneybeans
26.16,56.6,23.02,20.13,18.26,5.58,116.29,kidneybeans
21.44,72.76,28.01,16.97,27.26,5.73,92.52,kidneybeans
12.82,65.8,23.79,19.84,26.89,5.26,105.82,kidneybeans
13.29,70.77,23.65,19.26,12.49,5.76,112.55,kidneybeans
23.23,78.62,15.82,21.46,25.77,5.17,110.79,kidneybeans
17.77,66.77,21.49,19.13,19.24,5.71,89.69,kidneybeans
14.29,73.61,15.5,21.43,23.22,5.18,95.84,kidneybeans
27.96,58.67,18.24,21.02,24.34,5.62,97.04,kidneybeans
29.33,83.15,24.02,20.27,18.77,5.45,113.84,kidneybeans
23.31,80.11,22.7,17.09,25.28,5.4,100.24,kidneybeans
22.3,85.46,32.54,21.31,20.96,5.86,119.31,kidneybeans
18.88,83.66,21.02,21.1,23.93,5.83,118.58,kidneybeans
17.1,62.48,15.7,20.98,24.33,5.84,131.12,kidneybeans
20.77,73.52,15.73,19.33,24.03,5.95,101.59,kidneybeans
20.37,53.84,18.67,21.88,23.61,5.85,106.75,kidneybeans
20.84,61.56,22.9,20.94,23.32,5.54,73.7,kidneybeans
27.38,63.19,16.65,21.49,20.23,6.02,115.26,kidneybeans
24.9,55.21,24.95,20.62,20.31,5.74,79.36,kidneybeans
23.25,58.24,14.69,17.06,25.49,5.51,129.01,kidneybeans
17.59,52.13,15.63,22.57,21.05,5.54,108.4,kidneybeans
23.81,77.56,25.89,19.38,16.96,5.58,109.9,kidneybeans
15.02,58.89,21.48,20.0,21.71,5.47,102.54,kidneybeans
15.25,75.51,24.24,16.41,18.35,5.25,96.25,kidneybeans
20.3,54.45,16.41,18.09,22.33,5.72,95.17,kidneybeans
21.86,62.58,19.01,23.45,26.29,5.31,118.45,kidneybeans
25.67,57.17,23.38,23.18,17.67,5.42,121.26,kidneybeans
22.43,72.46,21.46,20.88,16.96,6.01,123.54,kidneybeans
19.42,67.11,13.98,21.13,23.6,5.68,122.87,kidneybeans
18.8,72.58,16.02,20.05,20.99,5.77,100.46,kidneybeans
20.01,74.93,18.35,16.89,27.72,6.11,86.62,kidneybeans
24.94,62.97,21.15,20.69,20.78,5.46,95.64,kidneybeans
15.3,60.01,19.83,18.67,23.99,6.15,97.3,kidneybeans
22.24,72.0,21.99,20.25,24.2,5.84,87.44,kidneybeans
26.01,75.49,17.05,20.18,23.99,5.64,122.09,kidneybeans
34.98,60.43,14.58,20.71,24.13,5.63,127.8,kidneybeans
12.77,73.74,17.68,23.54,28.57,5.47,97.76,kidneybeans
25.96,64.02,19.92,20.15,14.88,5.7,95.65,kidneybeans
17.84,80.49,15.07,21.73,20.62,5.62,117.86,kidneybeans
22.84,72.64,23.97,19.44,19.46,5.37,93.62,kidneybeans
38.49,78.7,14.7,17.46,23.29,5.86,114.23,kidneybeans
19.27,66.37,21.41,20.27,13.83,5.63,93.23,kidneybeans
21.85,94.37,21.57,19.47,24.83,5.84,112.3,kidneybeans
24.44,86.01,15.58,21.05,18.36,5.87,92.22,kidneybeans
18.3,64.84,24.0,21.94,17.24,5.72,95.36,kidneybeans
13.25,65.55,18.87,24.95,23.12,5.29,97.53,kidneybeans
26.93,86.3,13.76,16.34,28.15,5.82,92.98,kidneybeans
24.01,43.78,20.11,20.76,24.83,5.4,107.29,kidneybeans
15.25,69.8,16.52,19.28,18.11,5.9,118.88,kidneybeans
19.39,67.84,14.31,19.5,21.42,6.49,89.32,kidneybeans
29.59,76.47,21.22,23.62,22.9,5.82,105.2,kidneybeans
28.14,77.37,17.6,17.46,20.89,5.46,105.05,kidneybeans
28.22,63.38,19.93,20.22,24.57,5.03,96.9,kidneybeans
22.07,78.3,18.13,16.35,23.77,5.51,88.16,kidneybeans
17.05,65.84,17.68,15.69,24.74,6.08,115.77,kidneybeans
13.97,65.69,20.07,21.3,23.94,5.48,107.23,kidneybeans
23.54,80.6,22.92,21.68,21.89,6.12,112.15,kidneybeans
15.63,80.13,22.89,19.21,19.92,5.79,112.95,kidneybeans
21.98,70.3,26.9,22.24,22.27,5.98,90.51,kidneybeans
23.19,83.78,19.23,18.4,19.32,5.37,94.23,kidneybeans
18.58,54.85,20.16,21.9,18.42,6.16,113.66,kidneybeans
26.98,61.58,23.52,17.92,24.72,5.75,114.3,kidneybeans
13.75,59.44,22.49,18.2,23.22,5.29,118.72,kidneybeans
13.4,72.47,22.6,18.71,23.64,5.78,97.92,kidneybeans
14.75,49.84,21.5,16.97,21.93,5.62,116.19,kidneybeans
18.99,64.53,23.03,20.77,22.71,5.84,82.97,kidneybeans
25.34,73.01,16.03,19.61,21.46,5.66,111.01,kidneybeans
29.39,77.24,14.85,21.34,26.25,5.82,122.36,kidneybeans
32.87,76.71,21.1,22.19,22.11,5.71,100.73,kidneybeans
30.18,60.13,26.23,21.1,16.7,5.81,74.5,kidneybeans
24.55,75.47,17.73,20.35,28.44,5.55,90.12,kidneybeans
29.69,85.16,20.11,22.12,26.3,5.48,98.72,kidneybeans
28.19,82.67,22.35,18.34,28.55,5.54,100.97,kidneybeans
22.85,81.49,23.52,20.93,23.22,5.71,114.37,kidneybeans
5.62,64.83,21.07,17.8,22.95,5.64,132.33,kidneybeans
30.24,63.31,19.5,19.95,20.02,5.76,94.63,kidneybeans
14.02,73.1,22.62,18.49,24.73,5.51,109.8,kidneybeans
25.72,67.2,21.92,19.07,20.91,5.64,94.8,kidneybeans
19.74,53.56,18.14,19.53,20.7,5.63,105.07,kidneybeans
23.68,75.37,17.5,17.69,17.95,5.55,100.72,kidneybeans
16.18,55.83,18.28,20.46,23.68,5.53,99.81,kidneybeans
15.24,67.22,16.71,21.25,15.35,5.59,110.52,kidneybeans
21.62,89.24,21.7,24.69,47.53,4.91,147.49,pigeonpeas
16.53,75.02,18.1,27.35,44.29,6.67,141.47,pigeonpeas
29.86,74.21,22.23,28.81,50.46,4.84,142.53,pigeonpeas
24.93,67.31,14.68,27.54,58.32,6.42,147.95,pigeonpeas
25.46,64.77,13.48,24.93,57.48,5.66,143.42,pigeonpeas
19.2,82.93,26.8,34.36,47.15,5.95,111.58,pigeonpeas
28.08,58.36,21.17,24.41,44.57,5.38,134.3,pigeonpeas
18.0,63.31,23.63,24.39,49.42,6.41,136.67,pigeonpeas
17.11,65.86,25.02,28.28,44.91,6.04,121.94,pigeonpeas
24.11,70.97,19.07,25.18,42.78,6.07,180.22,pigeonpeas
17.51,71.37,11.95,25.95,47.91,5.35,126.09,pigeonpeas
17.36,70.04,19.55,20.99,35.38,5.5,160.94,pigeonpeas
6.96,63.7,18.2,31.87,45.79,5.99,153.03,pigeonpeas
10.05,73.85,21.16,29.22,71.66,4.76,192.62,pigeonpeas
19.26,70.0,20.12,26.43,44.68,5.96,111.57,pigeonpeas
24.45,64.37,15.78,26.35,55.64,5.53,158.46,pigeonpeas
17.05,73.76,23.04,33.25,47.05,6.13,151.95,pigeonpeas
27.18,61.95,23.28,27.12,47.71,5.85,155.81,pigeonpeas
20.12,69.42,26.61,30.66,53.31,5.57,127.27,pigeonpeas
25.48,74.71,26.19,25.89,46.72,4.98,139.69,pigeonpeas
25.68,63.97,22.86,27.13,50.04,5.23,151.63,pigeonpeas
5.74,66.2,13.78,31.32,52.76,6.03,187.53,pigeonpeas
15.96,81.68,24.03,26.99,54.91,5.25,128.89,pigeonpeas
17.66,63.47,16.07,31.37,46.55,5.98,135.24,pigeonpeas
11.6,69.86,12.65,27.49,39.89,6.79,172.28,pigeonpeas
21.23,77.81,16.91,29.33,49.3,5.93,181.31,pigeonpeas
